Anode used,Cathode used,spacing(cm),Electrolyte used,electrolyte concentration (g/L),initial pH,Temperature,initial con. mg/L,current density (mA/cm2),electrolysis time (minutes),water matrix,Removal efficiency %
A,M,3,NaClO4,1.4,3,32,50,0.6,20,SW - single PFAS -PFOA,54.1
A,M,3,NaClO4,1.4,3,32,50,5.9,20,SW - single PFAS -PFOA,64
A,M,3,NaClO4,1.4,3,32,50,5.9,45,SW - single PFAS -PFOA,90.2
A,M,3,NaClO4,1.4,3,32,50,5.9,90,SW - single PFAS -PFOA,98.5
A,M,3,NaClO4,1.4,3,32,50,5.9,120,SW - single PFAS -PFOA,99.7
A,M,3,NaClO4,1.4,3,32,50,17.6,120,SW - single PFAS -PFOA,99.8
A,M,3,NaClO4,1.4,3,32,50,23.2,60,SW - single PFAS -PFOA,97.1
C,N,1.5,NaClO4,2.4,5,25,207,5,30,SW - single PFAS -PFOA,58.5
E,N,1.5,NaClO4,2.4,5,25,207,5,120,SW - single PFAS -PFOA,89.6
F,M,1,NaClO4,1.2,5,25,100,10,45,SW - single PFAS -PFOA,66.2
G,M,1,NaClO4,1.2,5,25,100,10,60,SW - single PFAS -PFOA,82.2
G,M,1,NaClO4,1.2,5,25,100,10,90,SW - single PFAS -PFOA,91.7
F,M,1,NaClO4,1.2,5,25,100,20,30,SW - single PFAS -PFOA,59
F,M,1,NaClO4,1.2,5,25,100,30,15,SW - single PFAS -PFOA,42.1
F,M,1,NaClO4,1.2,7,25,100,10,45,SW - single PFAS -PFOA,58.6
F,M,1,NaClO4,1.2,9,25,100,10,90,SW - single PFAS -PFOA,74.7
F,M,0.5,NaClO4,1.2,5,25,100,10,15,SW - single PFAS -PFOA,55.7
F,M,2,NaClO4,1.2,5,25,100,10,90,SW - single PFAS -PFOA,63
F,M,1,NaClO4,1.2,5,25,5,10,30,SW - single PFAS -PFOA,60.5
F,M,1,NaClO4,1.2,5,25,10,10,90,SW - single PFAS -PFOA,91.4
F,M,1,NaClO4,1.2,5,25,20,10,90,SW - single PFAS -PFOA,91.5
A,A,1,NO,0,7,25,0.2,2.5,20,SW - single PFAS -PFOA,21.3
A,A,1,Na2SO4,0.4,5,25,10,25,60,SW - single PFAS -PFOA,88.2
A,A,1,Na2SO4,0.4,7,25,0.2,6,40,SW - single PFAS -PFOA,44.4
A,A,1,Na2SO4,0.4,7,25,0.2,12,20,SW - single PFAS -PFOA,50
A,A,1,Na2SO4,0.4,7,25,0.2,12,50,SW - single PFAS -PFOA,67.7
A,A,1,Na2SO4,0.4,3,25,0.2,25,50,SW - single PFAS -PFOA,81.8
A,A,1,Na2SO4,0.4,5,25,0.2,25,10,SW - single PFAS -PFOA,54.7
K,K,1,NaN3,3.3,4.6,25,50,100,480,SW - single PFAS -PFOA,64.2
K,K,1,NaCl,2.9,4.6,25,50,100,180,SW - single PFAS -PFOA,51.7
K,K,1,NaSCN,4.1,4.6,25,50,100,300,SW - single PFAS -PFOA,81.1
K,K,1,NO,0,4.6,25,50,100,180,SW - single PFAS -PFOA,2.3
K,K,1,NO,0,4.6,25,50,100,360,SW - single PFAS -PFOA,3.9
